[00:03:25.008] [LeftPPStation] Unload Cylinder Vacuum Error
[00:09:00.410] [RightTransferStation] Move XY Axis Error
[00:09:10.856] [RightTransferStation] Move XY Axis Error
[03:38:33.414] [RightTransferStation] Move XY Axis Error
[03:38:56.552] [RightTransferStation] Move XY Axis Error
[20:12:33.956] [MainControlStation] Right Door Open
[21:42:49.507] [LeftTransferStation] Move Z Axis Error
[21:43:06.458] [LeftTransferStation] Move Z Axis Error
[21:52:47.159] [RightTransferStation] Move Z Axis Error
[21:53:11.017] [RightTransferStation] Move Z Axis Error
