[10:26:04.620] moveZ Failed : Check Inposition Failed
[10:28:41.743] moveZ Failed : Send Command Failed
[10:28:43.213] moveZ Failed : Send Command Failed
[12:39:32.263] moveZ Failed : Send Command Failed
[12:47:21.646] moveZ Failed : Send Command Failed
[16:35:07.089] moveZ Failed : Send Command Failed
[16:57:11.184] moveZ Failed : Send Command Failed
[17:15:26.682] moveZ Failed : Send Command Failed
[17:15:26.798] moveZ Failed : Send Command Failed
[17:15:31.683] moveZ Failed : Send Command Failed
